country,Country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,NY.GDP.MKTP.PP.KD
IND,India,16.515394244741834,-9.892391269406577,-0.3688526653687532,0.04688769391612176,3.1888661548467963,5.998390456461936,1.8476950968827208,High
IRL,Ireland,0.31217857021304507,2.4404378431730147,-0.10163418135602822,0.3857469017974944,0.35484824674534227,2.909075802119763,-2.6136343070238106,Medium-High
IRN,"Iran, Islamic Rep.",2.3932509014483374,1.3068311179928027,23.40767525903226,-5.2731964886017675,-0.4823968148993786,-0.30246305901900067,0.09506245870975165,High
IRQ,Iraq,-0.04685369032835159,0.05323390670187381,0.2112377417271953,0.6627110499102465,-0.27272281517241864,0.5389437291026603,-0.5162929148112009,Medium-High
ISL,Iceland,0.816466841948076,3.325522448090957,-0.015750688089802935,1.2498263369505374,-0.45063710890956515,0.13410602844048095,-0.29483526858683917,Medium-Low
ISR,Israel,0.7952708094671257,2.6060294715806647,0.20483137435275892,2.053093124710094,-1.7922341286043886,0.8410201238506355,-0.8673277923949365,Medium-High
ITA,Italy,2.3413239747131924,2.2325294572732943,-0.5062678936345336,-0.5516535333170208,-0.676183615126288,0.23338526864572393,0.12462322183197053,High
JAM,Jamaica,-0.3157167467915733,0.8493843602275861,-0.39997090778106725,-0.9964269616285061,0.5331112555961585,0.02940106681688712,0.30612758271450163,Medium-Low
JOR,Jordan,0.5021235259918405,2.3992829709689576,0.02429621664294683,0.7798386577380898,0.48154187278851024,-0.7519765631843296,-0.5986307243837792,Medium
JPN,Japan,5.0179135924056535,2.4288347312870466,-0.7143349197522806,-0.4257855577172979,-1.8112363301668375,-2.159747961270726,0.6117571489005261,High
KAZ,Kazakhstan,-0.0013911778054385895,0.7189839679911344,-0.18459387596631222,-0.15773630685019402,-0.5823824641229287,0.6281401404348705,-0.05484568155194164,High
KEN,Kenya,-1.5566907042545353,-3.2287996779864074,-0.09585961720027733,-0.11705240828100882,0.16897746829708488,0.5383151688667965,0.22960805505668005,Medium-High
KGZ,Kyrgyz Republic,-1.0102554418260028,-0.6514675709263034,-0.10044922070513011,-0.21375960429721827,-0.12426251044127459,1.3255642548975335,0.6407043262059305,Medium-Low
KHM,Cambodia,-1.0388851965318175,-1.0348786265751873,-0.18514469447917772,-0.41492439195048963,-0.276665482851855,0.48697184701888246,0.7375018548671948,Medium
KIR,Kiribati,-1.9270480553470957,-2.1890316322750847,-0.20230631474169428,-0.408952700830765,-0.3569502936277421,-1.1793676941991162,-0.885976110285764,Low
KNA,St. Kitts and Nevis,-0.5117021820183829,0.47160348122607904,-0.566260246722251,-1.6298458148679928,0.05555432222478495,1.3186060580926808,1.1040797180728208,Low
KOR,"Korea, Rep.",2.422104764408814,2.7037692348317495,-0.14895150358769152,0.007311170652763581,-0.5551419806425699,-0.095224415279727,-0.13372224932314797,High
KWT,Kuwait,0.5593097016095318,2.4600068198657348,1.4087030221083618,6.1621559087027755,1.8800952011287169,-0.37746068638494645,-0.7822833115599275,Medium-High
LAO,Lao PDR,-2.00029193743158,-2.6524636517657165,-0.0012146448340647341,0.14589063061249682,0.005165715137805361,-0.5236878340639741,0.4470051827524951,Medium
